,Date,Year,Month,Startup,IndustryVertical,SubVertical,City,InvestorName,InvestmentType,NewAmount
699,2018-10-09,2018.0,10.0,MamaEarth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity,4000000.0
700,2018-11-09,2018.0,11.0,AutoGrid,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"CLP Holdings Group, Innogy, Ørstead, and Tenaska",Private Equity,32000000.0
701,2018-11-09,2018.0,11.0,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,5500000.0
702,2018-11-09,2018.0,11.0,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000000.0
703,2018-12-09,2018.0,12.0,Kissht,Fin-Tech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.

",Private Equity,30000000.0
705,2018-01-08,2018.0,1.0,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners ",Seed/ Angel Funding,400000.0
706,2018-01-08,2018.0,1.0,HealthFin,Finance,Patient Financing Platform ,Pune,"Axilor, Sprout Venture Partners and others",Seed/ Angel Funding,0.0
707,2018-02-08,2018.0,2.0,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000000.0
708,2018-03-08,2018.0,3.0,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,120000.0
710,2018-07-08,2018.0,7.0,ShopX,Consumer Internet,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,35000000.0
711,2018-07-08,2018.0,7.0,MakeMyTrip,Consumer Internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,10000000.0
712,2018-08-08,2018.0,8.0,Hansel io,Consumer Internet,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Seed/ Angel Funding,4000000.0
713,2018-08-08,2018.0,8.0,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,12200000.0
714,2018-08-08,2018.0,8.0,Phone Pe,Consumer Internet,UPI Payments App,Bengaluru,Flipkart,Private Equity,66000000.0
715,2018-09-08,2018.0,9.0,quizizz,Ed-Tech,e-learning Platform,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,3000000.0
716,2018-09-08,2018.0,9.0,Happy EMI,Fin-Tech,Consumer Financing Platform,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,1000000.0
717,2018-08-13,2018.0,8.0,Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/ Angel Funding,4000000.0
718,2018-08-13,2018.0,8.0,Observe AI,Technology,AI Based Solutions Platform,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,8000000.0
